epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
100,16569.6,1.30082,0.96185,1.17113,0.74415,0.65321,0.70734,0.4106,1.45608,0.99612,1.22975,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,16774.3,1.30188,0.96076,1.16862,0.74373,0.655,0.70717,0.41096,1.45485,0.99532,1.22945,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,16978,1.29688,0.96134,1.16635,0.73678,0.66178,0.70799,0.41137,1.45468,0.99451,1.22959,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,17181.9,1.29774,0.95446,1.16411,0.74472,0.65464,0.70741,0.41155,1.45412,0.99418,1.2294,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,17385.9,1.29494,0.9385,1.16625,0.74155,0.65991,0.70829,0.41201,1.45348,0.99352,1.22909,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,17589.9,1.29219,0.94162,1.16199,0.74055,0.66196,0.70917,0.41266,1.45324,0.99304,1.22928,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,17794.7,1.28636,0.94343,1.15898,0.73747,0.66321,0.709,0.41303,1.45146,0.99162,1.2285,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,17998.4,1.28675,0.93704,1.16081,0.7411,0.66248,0.70948,0.41359,1.45107,0.99042,1.22844,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,18201.9,1.28048,0.93067,1.15496,0.74431,0.66226,0.70976,0.41394,1.45082,0.98957,1.22841,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,18405.9,1.28213,0.92684,1.15571,0.74584,0.66268,0.71068,0.41483,1.45052,0.98862,1.22851,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,18610.4,1.28193,0.93188,1.15737,0.74681,0.66232,0.71124,0.41496,1.45009,0.98892,1.22837,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,18814.2,1.26925,0.92405,1.15087,0.75132,0.65819,0.71181,0.41573,1.44981,0.98831,1.22804,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,19018.3,1.27762,0.93034,1.15424,0.74844,0.66107,0.71238,0.4159,1.4487,0.98737,1.22777,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,19221.6,1.26879,0.91415,1.1509,0.75048,0.66179,0.71259,0.4165,1.44841,0.98606,1.22753,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,19427.6,1.26511,0.91061,1.14743,0.75047,0.66274,0.71283,0.41712,1.44813,0.98528,1.22755,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,19631.3,1.25527,0.90892,1.14465,0.75327,0.66357,0.71369,0.41744,1.44734,0.98499,1.22724,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,19834.5,1.25689,0.9058,1.147,0.75514,0.66305,0.71389,0.41777,1.44626,0.98442,1.2267,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,20038.3,1.25867,0.89128,1.14117,0.75402,0.66375,0.71426,0.41818,1.44609,0.98394,1.22651,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,20242.7,1.25061,0.89511,1.13882,0.75632,0.66339,0.71493,0.41872,1.44535,0.98389,1.22593,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,20446.4,1.24664,0.89276,1.13487,0.75786,0.66339,0.71609,0.41909,1.445,0.98373,1.2252,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
120,20650,1.24169,0.89269,1.13093,0.76059,0.6625,0.71701,0.41987,1.44435,0.98242,1.22532,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073,0.018219,0.006073
121,20853.4,1.24693,0.89174,1.1367,0.76046,0.66268,0.71736,0.4203,1.44391,0.98227,1.22526,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
122,21057.2,1.24175,0.88015,1.1306,0.76088,0.66429,0.71735,0.42038,1.44409,0.98213,1.22565,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007,0.018021,0.006007
123,21261,1.2428,0.88183,1.12962,0.76444,0.66339,0.7171,0.42076,1.44378,0.98083,1.22599,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
124,21464.6,1.24179,0.87986,1.13739,0.76643,0.66304,0.71796,0.42138,1.44254,0.98033,1.22547,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
125,21669,1.23421,0.88081,1.12949,0.77161,0.66161,0.71783,0.42201,1.44233,0.9799,1.22546,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
126,21875.4,1.23201,0.86708,1.12865,0.77046,0.6653,0.71773,0.42238,1.44111,0.97873,1.22525,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875,0.017625,0.005875
127,22079.4,1.23137,0.87444,1.13146,0.77152,0.6651,0.7182,0.42292,1.44049,0.9775,1.22495,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
128,22283.5,1.21918,0.85783,1.12389,0.77086,0.66661,0.71866,0.42359,1.43953,0.97694,1.22459,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809,0.017427,0.005809
129,22487.4,1.22202,0.86377,1.12381,0.77132,0.66857,0.71914,0.42416,1.43948,0.97697,1.22468,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
130,22691.7,1.21963,0.8697,1.12033,0.77243,0.67036,0.72014,0.42477,1.4376,0.97639,1.22399,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
131,22895.7,1.21626,0.85683,1.12388,0.7729,0.67035,0.72015,0.42502,1.43658,0.97653,1.22344,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
132,23099.3,1.21696,0.85825,1.12222,0.77459,0.66929,0.72112,0.42564,1.43625,0.97636,1.22327,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677,0.017031,0.005677
133,23303.3,1.21064,0.85434,1.11986,0.77384,0.66929,0.72189,0.42592,1.4356,0.97543,1.22286,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
134,23507.9,1.2072,0.85389,1.11542,0.77352,0.67018,0.72166,0.42614,1.43455,0.97455,1.22273,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611,0.016833,0.005611
135,23713.5,1.21322,0.85185,1.11842,0.77316,0.67196,0.72209,0.42669,1.43377,0.97391,1.22247,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
